Id,Text
1,ave u ever been dump before? ???
2,my wife is not interested in sex
3,best looking doctor on er?
4,does sbc yahoo 2wire installation software support windows 64 bit?
5,why and when was the mason-dixon line completed?
6,shingles the cure?
7,how long does it take when a person does not drink water?
8,who is earth-2 superman and how is he different from regular superman? why are there two supermen and why is one older than the other?
9,where can i find online videos from the 1980s group pacific? the videos were shot in denmark
10,definition
11,how many wise men went to see the baby jesus?  why do we say three wise men? aaccording to matthews 2:4 there were wise men
12,how do you get those personalised photos?
13,what is the coordinates of the bermuda triangle?
14,i need a programm to change the shape of a file ? i need programm to change the shape of a file to jpg
15,finger eleven? who all out there likes their song one thing?
16,what is the wooden object you hit with a gavel?
17,how do i advertise my site with little or no cost? i have a site that i want to attract visitors to.  what is the best way to do that with little or no cost?
18,how do i delete cookies? i can't get into mail or anything else. it keeps telling me to either set cookies or delete it.so all i mneed to know is how to find cookies and set it or get rid of it?
19,how do i make new friends my type
20,why do kids love cartoons and old people love soap operas
21,how can i find the web site where you can buy a star for a person? my friend want to buy a star in rememberance of his deceased daughter
22,what are some of the particles in the nucleus of an atom other than the proton and neutron?
23,how much money is too much? if you could choose an amount of money to be given to you
24,on the television show csi why do the investigators always explore rooms with lights off and with flashlights? why do the investigators in the television show csi always look at rooms in the dark
25,why is it called heavy metal music? why is it called heavy metal music?
26,what are the debates about working age lowered&#xa;about job age lowered? please dont talk about drinking
27,what is the secret of  bermuda triangle? what is the secret of bermuda triangle?many accidents occured at that place? can we solve these by solid evidence of holy books and is it describe any where regarding the reality of this triangle.answer required especially from reference to the holy quran by any scholar of iran.i request to solve this secret? &#xa;any iranian scholar will give me reply? thanks.
28,while hno3 is a stronger acid than hcl
29,what are the steps of inputing data into spss?
30,what does adobe reader do?
31,what are d2k tools? someone mentioned that to me few days ago and it sounded very interesting
32,what's the most economical new black and white printer to print 10
33,what is the difference between agp and pci graphics cards?
34,what is your x-mas wish? it could be an i-pod
35,who is the first president in jamaica?
36,how do i stop getting dumped?
37,do you know of any good resources for downloading mac shareware? if i could get product reviews and information
38,does yoga really help your body?
39,why does yahoo shut down yahoo groups without warning or explanation to the group owners? it would seem to me that if there is a violation being practiced that yahoo would give the group owner a warning/reason and allow the group owner a chance to straighten it out before closing a yahoo group down on them. with out a rhyme or reason how can a group owner know how to not get shut down. yes you have&#xa;rules and guidelines but frankly they are so long and&#xa;extensive (which i understand) that i can see where a &#xa;rule or understanding of a rule could be misunderstood&#xa;or overlooked.&#xa;thank you very much&#xa;hootytuts
40,do i need to pay tax before filing tax return if i sell my iso stock options this year?
41,how do i create a web page? i need to create a web page of a theater group but i don´t know how. could someone help me?. i also understand spanish.
42,top 10 finance school?
43,if you had to say one word every time you had an orgasm
44,what are some good locations for weddings in the east sf bay area in july? it would be ideal to have the ceremony and reception at the same location (not a church).
45,i just found out my engagement ring is fake - my husband lied! what do i do? he couldn't afford a ring he thought i'd like so he got a cz ring. the problem isn't really the ring though
46,where can you buy krugerrands? i'm interested in buying a full south african krugerrand
47,my new pic? see my pic
48,what is a good pickup line to use on a girl?
49,is there a fun place to go out with my friends in austin even though they arent all 21?
50,do you get annoyed if you answer a question...? and you're the only response but the person doesn't vote you as the best answer? esspecially if your answer is good?
51,what do people think about all the movie remakes that are being made today? ex. dukes of hazzard
52,when to start / have mammograms?
53,what is the best site on the web to find old friends?
54,what is the average speed of an adult walking?
55,song lyrics or composer to elvis is alive and playing santa at sears...? i heard a song on the radio last week and i'm almost sure the name of it was elvis is alive and playing santa at sears.. i wanted to know who sang or wrote the song and the lyrics .. i can't seem to find anything on the internet.. can you help?
56,how to become a perfect hardware engineer as i am undergoing btech in cse in second year?
57,fastest way to learn italian?
58,the date of jesus's birth?
59,how much do sound cards cost?
60,how does pacman survive and eat the pebbles without eyes?
61,what is the difference between a savings account and a money market account?
62,who are the gurus of strategic management and what are their theories?
63,i have almost continual hot flashes and am 67 years old
64,where is the best place to meet atractive men in their 30's?
65,does anyone know a good tutoring service for k-12 around philadelphia?
66,which is the smallest country in the world? help!!!!
67,what year of animal will it be for the chinese?
68,is there an aim/yahoo/jabber/chat client that is multi-platform that also provides encryption options? i've used adium/fire on macintosh&#xa;trillian on windows&#xa;&#xa;is there any software that runs on mac
69,best antivirus? ex. norton
70,how can we download free english mp3's?
71,do you have a recommendation for a clean
72,has anyone seen chronicles of narnia
73,how can i buy a webcam and not get caught buying it by my mother?
74,what body of water does the yukon river empty into?
75,what is the difference between a regular dental cleaning and a deep cleaning?
76,what features should we add? can you think of a feature we should add?  can you think of a feature that can be improved?
77,i set up a new messenger
78,where is nina hagen now and what is she doing?
79,what would you do if your nose really ran away?
80,where did the #2 pencil come from?  where's #1 and #3?
81,is it possible for human to develop artificial intelligence as good as himself?
82,what is your favorite love quotation?
83,in the san francisco bay area
84,when will google's stock price fall? and no
85,can you recommend a good preschool with childcare around philly?
86,where do i buy the best cars online?
87,what is ok to eat when u r sick with a flu/cold
88,how far did you go in math? algebra? calulus 18? lol
89,where is everywhere
90,what day was march 24 1962? what day was march 24 1962
91,who will win if bugs bunny is the guilty &amp; james bond is the executioner. also
92,how do i get over being afraid of girls when having depression?
93,washington d c state or not?
94,in finding the right lady for my life;shouldn't she be the type of lady who want the same things i want? romanic
95,any family doctor recommendations near campbell/los gatos ca?
96,are you fundamentally the same person as you were 10 years ago? do people change much?  (inside stuff. plastic surgeries don't count)
97,why are socks angled at 120 degrees
98,what is the prime color that all other colors come from? if u are an artist or painter u should get this
99,how can i add signature in rediffmail? i have added signature in yahoo. that are very cool. but i am not able to add graphical signatures in my rediff mail. how can i add them
100,is it lucky to have my birthday the day b 4 xmas?
101,do you feel sympathy for darth sidious?
102,how many women   can't have an orgasm during sex but need outside manipulation.?
103,how to use the internet?who can tell me?thanks?
104,does putting alot of jobs on your resume hurt when looking for employnwent? i have had some jobs where i just stayed 2or three months should i put them on my resume
105,is it legal for an apt complex to keep info about my timely payment from me? i want to know is it legal for an apt. complex to withhold information from a tenant concerning if they were 30 days late for rent. if the tenant wants it in writting?
106,what is a blog?
107,what is the middle name of edgar poe?
108,what does eating lots of food
109,my fiance returned a engagement ring during a heated argument.later she contacted me to re-think.should i?
110,should high schools offer classes on sat for all?
111,when a site is called illegal
112,should you see saw before you see saw2?
113,how many hours does a koala sleep in a day?
114,how do i find a missing person? he is a grand son moved to washington
115,if your boyfriend cares about basketball more than he does you what should you do?
116,do anyone here knows a good site r book about elastic bands exercises?
117,what's the best reggeaton dance move? reggaeton is a spainsh dancing that americans call grinding. i'm trying to teach my sister some moves but can't think
118,who came up with the term lol?
119,what is vitrual memory?after about 20 mins
120,why are the dutch so tall?
121,will mba be a good degree for my career in software industry..i already have a mscs?
122,advantages and disadvantages of keeping up to date in programming language.?
123,what rymes with orange?
124,the speed of life including the speed?
125,why indian  good in math and science?
126,what is the best way to quit smoking cigarettes?
127,how far back can the irs go to audit your records for personal taxes?
128,are britney and keving getting divorced?
129,what is graphical method?
130,is fibromyalgia a joke or real?
131,what is the difference between a dominant 7th flat 5 and a dominant 7th sharp 11?
132,do you loose weight with birth control?
133,best way to advertise? i run an online store and would like to advertise it. i sell a weight loss product. i am already listed in most of the major search engines
134,can i purchase a gift certificate to y! music unlimited? can't find gift certificates on the site - did i miss them? are they coming soon?
135,what is the difference between dating and in a relationship?
136,what kind of things did people do to get motivated to lose weight im having a hard time?
137,what is tcp/ip?
138,who sings the song that goes...it's a new day...bamp bamp ba bamp ba ba bah? it's a male singer
139,what does pro stand for?
140,what was the last hanna-barbera prime-time cartoon series? and what year did it air?
141,what is the altitude that the satellite is placed so they will stay on that same altitude? how do you calculate it?&#xd;&lt;br&gt;&lt;br&gt;&lt;br&gt;http://www.sfu.ca/~goddyn/sci010/010lec10/eg.html
142,what is daegan wicca?
143,where can i find the history of my house like who lived in in years ago?
144,what do 15 year old girls want for xmas? urgent problem: i have 1 1/2 days to pick up gifts for my beloved just-turned-15 daughter. if i get her an ipod does anyone have any suggestions what to do -- or not to do? there are so many ipods i don't know where to begin. also
145,what's the best way to create a bootable windos/dos cd? i don't use floppies any more and need to boot from something other than my hard disk
146,there's a man lying dead in a telephone booth beside a river.? the phone is off the hook
147,does the size of your pennis matter?
148,do you think new born babies can be born with cancer?
149,should friendships be based on popularity?
150,who is better..dr. phil or oprah? i like both but dr. phil wins in my opinion.
151,what does it mean if another girl puts her hand on another girl's leg? iam 14 years old female.a18 years old female putted her hand on my leg.does it mean she's a lesbian?
152,does the apply vally branch library n california preform marriages?
153,when does spring start and end in canada?
154,what happen to scrubs on tv?
155,almost everyone needs it
156,how can uget rid of dipression?
157,what is indie genre?
158,why is it that people say they slept like a baby when babies wake up like every two hours?
159,how do i get in touch with a former classmate? i am presently in chicago il and looking for a classmate who graduated at claro m recto high
160,what is vasectomy?
161,how to stop a alchoholic from drinking? how to make him realise he needs medical attention.
162,i need to know the daily praying time here in abu dhabi - uae ?
163,space missions why are we spending so much money on space when we do not have a decent health insurance to all the public?
164,what day does january 1st fall on?
165,who decided red means stop and green means go? what is the history behind it?
166,what is the best business idea you saw this year? must be innovative
167,how do i temporarily allow pop ups?
168,what are some websites for 11 year old kids? i need websites to show people they get bored and i need new ones
169,when i click on a link from the search page
170,how did the preacher curl get its name? weight training exercise...special cushioned platform to lift dumbbells or free weights.
171,what is the pre-n router?
172,how do i get rid of the egroup dialer
173,why do we call manila folder manila?
174,how much uninterrupted sleep is necessary to remain sane? i have newborn twins and am slowly going crazy...
